id_calle;flujo;;;Rangos;;Numero calles
556;60;;;;;
557;6;;;;;
558;85;;;;;
559;35;;;;;
560;135;;;;;
561;8;;;;;
562;72;;;;;
563;72;;;;;
564;2;;;;;
565;64;;;;;
566;20;;;;;
567;52;;;;;
568;38;;;;;
569;273;;;;;
570;9;;;;;
571;17;;;;;
572;48;;;;;
573;22;;;;;
574;109;;;;;
575;103;;;;;
576;47;;;;;
577;17;;;;;
578;4;;;;;
579;33;;;;;
580;10;;;;;
581;92;;;;;
582;22;;;;;
583;142;;;;;
584;11;;;;;
585;40;;;;;
586;193;;;;;
587;95;;;;;
588;7;;;;;
589;111;;;;;
590;10;;;;;
591;60;;;;;
592;7;;;;;
593;7;;;;;
594;82;;;;;
595;104;;;;;
596;9;;;;;
597;33;;;;;
598;641;;;;;
599;11;;;;;
600;70;;;;;
601;180;;;;;
602;25;;;;;
603;1;;;;;
604;69;;;;;
605;27;;;;;
606;5;;;;;
607;36;;;;;
608;8;;;;;
609;64;;;;;
610;9;;;;;
611;558;;;;;
612;3;;;;;
613;23;;;;;
614;71;;;;;
615;9;;;;;
616;24;;;;;
617;0;;;;;
618;0;;;;;
619;8;;;;;
620;93;;;;;
621;14;;;;;
622;28;;;;;
623;116;;;;;
624;17;;;;;
625;40;;;;;
626;58;;;;;
627;88;;;;;
628;169;;;;;
629;32;;;;;
630;484;;;;;
631;65;;;;;
632;134;;;;;
633;88;;;;;
634;3;;;;;
635;75;;;;;
636;15;;;;;
637;31;;;;;
638;93;;;;;
639;135;;;;;
640;16;;;;;
641;74;;;;;
642;64;;;;;
643;28;;;;;
644;15;;;;;
645;3;;;;;
646;77;;;;;
647;441;;;;;
648;119;;;;;
649;63;;;;;
650;8;;;;;
651;480;;;;;
652;68;;;;;
653;12;;;;;
654;1111;;;;;
655;75;;;;;
656;10;;;;;
657;88;;;;;
658;66;;;;;
659;38;;;;;
660;422;;;;;
661;87;;;;;
662;46;;;;;
663;35;;;;;
664;29;;;;;
665;7;;;;;
666;98;;;;;
667;75;;;;;
668;18;;;;;
669;77;;;;;
670;604;;;;;
671;1060;;;;;
672;264;;;;;
673;70;;;;;
674;55;;;;;
675;253;;;;;
676;72;;;;;
677;217;;;;;
678;11;;;;;
679;1;;;;;
680;19;;;;;
681;208;;;;;
682;8;;;;;
683;85;;;;;
684;67;;;;;
685;8;;;;;
686;43;;;;;
687;102;;;;;
688;225;;;;;
689;1283;;;;;
690;590;;;;;
691;81;;;;;
692;33;;;;;
693;72;;;;;
694;75;;;;;
695;10;;;;;
696;78;;;;;
697;57;;;;;
698;86;;;;;
699;57;;;;;
700;9;;;;;
701;43;;;;;
702;9;;;;;
703;3;;;;;
704;2;;;;;
705;1;;;;;
706;1;;;;;
707;2;;;;;
708;2;;;;;
709;5;;;;;
710;3;;;;;
711;2;;;;;
712;4;;;;;
713;49;;;;;
714;6;;;;;
715;2;;;;;
716;11;;;;;
717;10;;;;;
718;2;;;;;
719;5;;;;;
720;7;;;;;
721;4;;;;;
722;20;;;;;
723;17;;;;;
724;1;;;;;
725;97;;;;;
726;82;;;;;
727;25;;;;;
728;30;;;;;
729;3;;;;;
730;19;;;;;
731;32;;;;;
732;47;;;;;
733;16;;;;;
734;29;;;;;
735;69;;;;;
736;62;;;;;
737;394;;;;;
738;76;;;;;
739;756;;;;;
740;405;;;;;
741;73;;;;;
742;15;;;;;
743;4;;;;;
744;15;;;;;
745;32;;;;;
746;3;;;;;
747;25;;;;;
748;15;;;;;
749;44;;;;;
750;63;;;;;
751;4;;;;;
752;80;;;;;
753;107;;;;;
754;81;;;;;
755;10;;;;;
756;180;;;;;
757;366;;;;;
758;26;;;;;
759;65;;;;;
760;42;;;;;
761;22;;;;;
762;138;;;;;
763;44;;;;;
764;33;;;;;
765;21;;;;;
766;40;;;;;
767;38;;;;;
768;399;;;;;
769;780;;;;;
770;7;;;;;
771;95;;;;;
772;16;;;;;
773;194;;;;;
774;19;;;;;
775;21;;;;;
776;40;;;;;
777;123;;;;;
778;8;;;;;
779;23;;;;;
780;40;;;;;
781;32;;;;;
782;168;;;;;
783;11;;;;;
784;2382;;;;;
785;29;;;;;
786;38;;;;;
787;33;;;;;
788;25;;;;;
789;73;;;;;
790;107;;;;;
791;22;;;;;
792;43;;;;;
793;15;;;;;
794;2;;;;;
795;13;;;;;
796;2;;;;;
797;25;;;;;
798;129;;;;;
799;34;;;;;
800;13;;;;;
801;19;;;;;
802;81;;;;;
803;734;;;;;
804;538;;;;;
805;1034;;;;;
806;38;;;;;
807;3;;;;;
808;1;;;;;
809;6;;;;;
810;8;;;;;
811;4;;;;;
812;48;;;;;
813;26;;;;;
814;1;;;;;
815;6;;;;;
816;325;;;;;
817;1;;;;;
818;1;;;;;
819;30;;;;;
820;26;;;;;
821;29;;;;;
822;32;;;;;
823;9;;;;;
824;22;;;;;
825;4;;;;;
826;8;;;;;
827;0;;;;;
828;0;;;;;
829;23;;;;;
830;34;;;;;
831;20;;;;;
832;23;;;;;
833;96;;;;;
834;2;;;;;
835;12;;;;;
836;18;;;;;
837;5;;;;;
838;4;;;;;
839;7;;;;;
840;41;;;;;
841;18;;;;;
842;26;;;;;
843;5;;;;;
844;614;;;;;
845;0;;;;;
846;4;;;;;
847;0;;;;;
848;40;;;;;
849;6;;;;;
850;1;;;;;
851;33;;;;;
852;15;;;;;
853;6;;;;;
854;13;;;;;
855;25;;;;;
856;28;;;;;
857;42;;;;;
858;29;;;;;
859;10;;;;;
860;0;;;;;
861;22;;;;;
862;22;;;;;
863;15;;;;;
864;38;;;;;
865;328;;;;;
866;67;;;;;
867;26;;;;;
868;193;;;;;
869;635;;;;;
870;72;;;;;
871;89;;;;;
872;4;;;;;
873;98;;;;;
874;98;;;;;
875;1927;;;;;
876;69;;;;;
877;34;;;;;
878;527;;;;;
879;67;;;;;
880;1;;;;;
881;4;;;;;
882;8;;;;;
883;7;;;;;
884;22;;;;;
885;1;;;;;
886;11;;;;;
887;16;;;;;
888;9;;;;;
889;7;;;;;
890;11;;;;;
891;21;;;;;
892;0;;;;;
893;0;;;;;
894;25;;;;;
895;15;;;;;
896;7;;;;;
897;18;;;;;
898;2;;;;;
899;19;;;;;
900;14;;;;;
901;22;;;;;
902;14;;;;;
903;10;;;;;
904;95;;;;;
905;2;;;;;
906;2;;;;;
907;9;;;;;
908;4;;;;;
909;28;;;;;
910;1;;;;;
911;11;;;;;
912;10;;;;;
913;11;;;;;
914;18;;;;;
915;1;;;;;
916;10;;;;;
917;11;;;;;
918;32;;;;;
919;565;;;;;
920;3;;;;;
921;12;;;;;
922;13;;;;;
923;19;;;;;
924;101;;;;;
925;36;;;;;
926;5;;;;;
927;24;;;;;
928;29;;;;;
929;3;;;;;
930;16;;;;;
931;111;;;;;
932;2;;;;;
933;25;;;;;
934;10;;;;;
935;3;;;;;
936;33;;;;;
937;11;;;;;
938;1;;;;;
